,Unnamed: 0,Links,Region,Company,Title,Employment Type,Seniority,Industry,Salary,Payment,Description,Requirements
0,0,https://www.mycareersfuture.sg/job/senior-business-analyst-streetsine-singapore-1dfad7220bf937dbf9d6a670b4863d9b,Central,STREETSINE SINGAPORE PTE. LTD.,Senior Business Analyst,Full Time,Middle Management,Information Technology,"$4,000to$6,000",Monthly,"Roles & Responsibilities
Senior Business Analyst
Job Description:
A subsidiary of mainboard listed Singapore Press Holdings (SPH), StreetSine Technology/Singapore Real Estate Exchange (SRX) is a digital analytics company specializing in Singapore and Hong Kong real estate. Its data offerings, market intelligence tools and consultancy are well recognized and widely used by the real estate industry and government organizations.
We are currently looking for a Senior Business Analyst to be part of our Business Intelligence (B.I.) team. The candidate will be exposed to a variety of high-profile projects and be rewarded with attractive renumeration.
Reporting to the Chief Data Officer (CDO), you will work closely with internal teams to:
Perform market research, product analysis and benchmarking studies for the company;
Analyse business opportunities and produce clear reports/presentations to facilitate decision making;
Collaborate with internal and external stakeholders in establishing business requirements for key projects, including strategic value propositions and product enhancements.
Expected Competencies:
A fast, adaptive yet meticulous professional having the following qualities:
1. Independent Team Player with Strong Communication Skills
The candidate must be a mature team player with a high level of integrity, initiative and is able to work under pressure and deliver quality work within a stipulated timeline. Good interpersonal and communication skills are essential.
2. Business Acumen and Analytical Skills
The candidate must have demonstrated ability to identify and build business value propositions with both internal and external stakeholders, analytical skills and creative thinking.
3. Technical Competency
The candidate must be able to perform financial modelling and data visualization in order to translate complex datasets into strategic business insights.","Requirements
Requirements:
Bachelor’s degree or above in real estate or a business-related discipline.
Ability to work autonomously on self-directed projects or in tandem with a team.
Proficient in Microsoft Office application and/or other financial/analytical modelling tools. Candidates with proficiency in SQL and Tableau will have an advantage."
1,1,https://www.mycareersfuture.sg/job/assistant-manager-operations-performance-management-oakwood-worldwide-96f8a0aac7c1d52704d230d843dae258,South,OAKWOOD WORLDWIDE (ASIA) PTE. LTD.,"Assistant Manager, Operations Performance Management",Full Time,Manager,Hospitality,,,"Roles & Responsibilities
We are looking for an Assistant Manager (Operations Performance Management) to join our award-winning and fast-growing company in the Asia-Pacific region. The Assistant Manager will be based in our Singapore Corporate Office managing the world-class accommodation business. At Oakwood, you will work for an energetic team by being yourself.
  RESPONSIBILITIES
Reporting to the Vice President, Operations Performance Management, you are responsible to monitor and track the performance of a portfolio of properties, recommend and develop improvement plans to ensure the properties are operating efficiently and effectively. The responsibilities are:
  Maintain internal property performance templates and generate consolidation and business review reports for senior management and properties, highlighting key variances and performance gaps
Review and analyse property performance templates to identify trends and gaps in performance, and develop action plans and recommendations to improve performance
Generate portfolio and regional benchmark reports to identify further areas of opportunity
Assist and participate in underwriting investment and development deals
Maintain departmental and groupwide consolidation templates to ensure that they are updated to the latest hospitality accounting and reporting standards
Develop and maintain corporate performance dashboard and business intelligence tools to drive faster performance and data analysis
Review property and portfolio annual budgets and make recommendations to senior management on the reasonableness of the budgets, and where there are further opportunities to improve performance further
Assist and participate in developing Property (Asset) Improvement Plans through market research, identifying product gaps to brand standards and recommending improvements that will drive higher property performance and value
Assist and participate in pre-opening tasks for new properties such as developing budgets, reviewing Sales & Marketing plans, and staffing ratios

 ","Requirements
WHAT WE REQUIRE
At least a Bachelor’s degree in Business, Hospitality, Statistical Analysis, Finance or Accounting.
At least 5 years of experience in an analytical role in real-estate / travel / hospitality industry (preferred)
An effective communicator and comfortable with interacting with senior management team in the Asia-Pacific region.
Comfortable working with numbers and a keen eye to details is a must
Proficient in Microsoft Office application - especially in Excel VBAs or Macros.
  WHAT WE LOOK FOR
Demonstrates solid judgment when interpreting data; helps team to develop professional acumen.
Writes concisely and coherently; prepares and assists in the delivery of both internal and client presentations; demonstrates confidence and assertiveness when interacting with clients, colleagues and supervisors
Strong academic background with good knowledge of standards of accounting reporting requirements
Ability to work under pressure and effectively handle concurrent tasks
Self-starter, meticulous and organised
  If you believe you are the candidate we are seeking, please provide your resume giving full details of qualification(s), experience(s), as well as current and expected salary. We regret that only short-listed candidates will be notified."
2,2,https://www.mycareersfuture.sg/job/data-analyst-international-sos-technology-services-fe8c48371f06d4955eaf7ac05df75eb2,Islandwide,INTERNATIONAL SOS TECHNOLOGY SERVICES PTE. LTD.,Data Analyst,Full Time,Professional,Information Technology,"$6,000to$6,500",Monthly,"Roles & Responsibilities
In our Digital Innovation Services Centre (DISC), a newly created tech entity of International SOS, a need for unique position as Data Analyst has been created to develop and maintain ongoing reporting needs. You will support client and internal reporting request and project development such as the implementation and support of a global reporting platform to drive BI.
  Responsibilities:
Hands-on result-oriented attitude: hands-on application support, deliver results and meet customer expectations, through focus on customer needs and satisfaction
Agile practitioner and responsive to business needs.
Strong problem-solving ability: analyses and makes rational judgements from available information and produces workable solutions to a range of problems.
Ability to analyse both qualitative and quantitative data.
Establishes good relationships with clients and relates well to people.
An attitude of continuous learning and proactive in developing own knowledge and skills.
Ability to thrive in a multicultural, multinational environment and mobilize cross-functional high-performance teams.
Strong in reporting (chart, dashboard and paginated) using SSRS and Power BI technologies.
Experience in analysis of reports would be required. This will include to identify and analyse data discrepancies for fixing the data quality issue.
Capable to support the production incident on reports and ETL jobs by providing the tactical fix for maintaining the service continuity.
Knowledge of ETL methodology and hands-on experience in SSIS package creation
Advanced Excel skills with understanding of Pivot table, Power query etc.
Writing the mapping, technical design and release documents.
Relational and multi-dimensional data model knowledge.
Advanced query writing and optimization skills for performance tuning.
Suitable work experience in Business Intelligence & Data Warehousing.","Requirements
Education and Experience:
Bachelor's / Master’s degree in Computer Science, Engineering or related discipline.
5+ years of professional experience in T-SQL, MSBI (SSIS/SSRS/SSAS) and Power BI skills.
Understand data and reporting requirements and work with internal team to concept, design and deliver solution.
Data preparation (sourcing, acquisition, integration) by using business intelligence tools
Delivering reporting solution using SSRS and Power BI.
Advanced SQL skills and expertise in one or more database engines with preference to MS SQL.
Advanced skills in T-SQL development, debugging and optimization.
Experience with SQL Server Reporting Services (SSRS) is a plus.
Outstanding verbal and written communication skills."
3,3,https://www.mycareersfuture.sg/job/sap-pm-maximo-blue-ocean-systems-infotech-6d9b79572bd3d176e3509b2d7ce54e43,Islandwide,BLUE OCEAN SYSTEMS INFOTECH PTE. LTD.,SAP PM MAXIMO,Permanent,Middle Management,Consulting,"$6,000to$7,000",Monthly,"Roles & Responsibilities
at least one Full life cycle PM implementation Maximo and configuration experience.
Strong experience in Plant Maintenance configuration, measurement points, equipment master, user statues, complex equipment hierarchies, classification, work order and work order settlement.
Good knowledge in integration methodologies with other SAP modules and from external systems to and from SAP.
IBM Certified Deployment Professional – Maximo Asset Management V7.5 or latest version
Minimum of a Bachelor’s degree in Computer Science, Computer Engineering, Information Systems/Technology, or related major field of study
More than five years’ experience using Maximo version 7.5 or greater.
Must have the ability to manage and ensure the successful completion of multiple technical tasks in assigned program.
A proven Track record on developing high quality product software on schedule
Experience with application servers (WebSphere Application Server and WebLogic)
Experience with operating systems, networking, and firewall concepts
Experience with security (SSL, data encryption, system user accounts, directory servers)
Five (5) or more years’ experience in IBM Maximo Asset Management applications development/development is required
Experience with web protocols including HTTP, SMTP and LDAP
Knowledge of administration of database and web server components
Experience with Tivoli process automation engine application set
Modern programming language experience SQL, java and/or C++
Experience with methodologies and technologies such as HTML, CSS, XML, J2EE, java script
Experience with Maximo integration technologies (MIF, MEA, Object structures, services, channels, etc.)
Experience working with Maximo, SCCD, deployed Self-Service Portal
Experience working in agile software development environments.
Experience working on multiple project and multi-tasking
Experience with BIRT, Business Intelligence Reporting
Experience in Maximo integration with SAP.","Requirements
at least one Full life cycle PM implementation Maximo and configuration experience.
Strong experience in Plant Maintenance configuration, measurement points, equipment master, user statues, complex equipment hierarchies, classification, work order and work order settlement.
Good knowledge in integration methodologies with other SAP modules and from external systems to and from SAP.
IBM Certified Deployment Professional – Maximo Asset Management V7.5 or latest version
Minimum of a Bachelor’s degree in Computer Science, Computer Engineering, Information Systems/Technology, or related major field of study
More than five years’ experience using Maximo version 7.5 or greater.
Must have the ability to manage and ensure the successful completion of multiple technical tasks in assigned program.
A proven Track record on developing high quality product software on schedule
Experience with application servers (WebSphere Application Server and WebLogic)
Experience with operating systems, networking, and firewall concepts
Experience with security (SSL, data encryption, system user accounts, directory servers)
Five (5) or more years’ experience in IBM Maximo Asset Management applications development/development is required
Experience with web protocols including HTTP, SMTP and LDAP
Knowledge of administration of database and web server components
Experience with Tivoli process automation engine application set
Modern programming language experience SQL, java and/or C++
Experience with methodologies and technologies such as HTML, CSS, XML, J2EE, java script
Experience with Maximo integration technologies (MIF, MEA, Object structures, services, channels, etc.)
Experience working with Maximo, SCCD, deployed Self-Service Portal
Experience working in agile software development environments.
Experience working on multiple project and multi-tasking
Experience with BIRT, Business Intelligence Reporting
Experience in Maximo integration with SAP."
4,4,https://www.mycareersfuture.sg/job/business-intelligence-developer-dreamscape-networks-international-721d9c25be6192dacc1241df16ec9840,Central,DREAMSCAPE NETWORKS INTERNATIONAL PTE. LTD.,Business Intelligence Developer,Permanent,Professional,Information Technology,"$5,000to$7,000",Monthly,"Roles & Responsibilities
As a Business Intelligence Developer, you are expected to be responsible for all aspects of the maintenance and management of the company’s Business Intelligence System (BIS). The BIS is used for the basis of many integral business decisions, ranging from Marketing and Management to Investor Relations. Given the reliance on the BIS by many users and data sources, you are also expected to ensure uninterrupted access and peak performance.
Detailed Responsibilites includes:
Role Specific
Specify and manage the process for BIS requests and projects.
Plan and manage the completion of requests and projects within a timely manner, whilst maintaining communication with the requestor over progress and timelines.
Plan, manage and enable reporting for all A/B testing and optimisation.
Provide executive summaries and analysis for unique and independent (of dashboard and daily reporting) reports.
Manage, maintain and plan any developments or projects related to the BIS tools and software utilised by the company.
Support and plan for the migration of data through involvement with the Acquisition Integration Plan.
Business Intelligence Servers
Ensure the smooth operation of the BIS servers, working with the System Administrators and vendor support where necessary.
Identify, report and fix any potential memory and CPU leaks due to poor Data Store or Dashboard design.
Plan and manage the setup of a second BIS environment or “staging” server for data manipulation and extraction.
Data Stores
Find efficiencies with Data Store design (e.g. improve table connections and optimise table views).
Write custom SQL queries to aid in the connection of tables and additional data fields from existing data sources.
Add new table views where required.
Create and maintain scripts that generate custom table data as required.
Prevent many-to-many relationships between tables.
Add new data sources (e.g. costs from Facebook, Bing, Yahoo).
Dashboards
Ensure Executive Management receive accurate email reports on a daily basis at the scheduled time.
Identify dashboards that are performing inefficiently due to poor Data Store design or large widget queries.
Create dashboards based on requirements of different departments:
Management
Marketing
Product Teams
Human Resources
Administer users, user groups and access privileges for the BIS based on valid requests from management.
 ","Requirements
myYou should have:
A degree in Computer Science or programming
Minimum 5 years of relevant experience in design, development and maintenance of Business Intelligence solutions
Excellent dashboard design skillset, including UI/visualization aspects and performance tuning of dashboards, intelligent cubes, transaction services.
Experience in customer-facing discussions for requirements gathering and architecting solutions for BI projects.
Ability to train and mentor team members and business users.
Excellent problem solving and anlytical skills as well as inter-persoanl and communication skills.
Strong documentation skills to interface across breadth of cross-functional teams and management.
Proficiency in the following skills and frontend technologies:
MySQL
JavaScript
SVN
Jira
Active Collab
 "
5,5,https://www.mycareersfuture.sg/job/data-analyst-grabtaxi-holdings-1baf89bf2697118c0a914095815dd373,Central,GRABTAXI HOLDINGS PTE. LTD.,Data Analyst,Full Time,Executive,Information Technology,,,"Roles & Responsibilities
Get to know our Team:
We focus on humanizing big data, be a bridge between the technical and operational (market) side of business and to use data in order to align with strategic goals.
If you like a good challenge and love to find new ways of interpreting data then you’re a perfect fit.
Get to know the Role:
Be our expert in using data to measure and analyse business performance in each our markets and lines of business.
Explore business issues/opportunities, uncover insights and/or identify targeted areas for business growth.
Partner with management and operational teams to deep dive on core issues and use our data to find answers.
Collaborate with various expert teams to rollout effective products/services and to expand Grab’s universe of data for building richer insights.
Lead new data analytics capability rollouts and/or data-led initiatives throughout Grab.
The day-to-day activities:
Monitor key metrics and alert the business on potential issues.
Analyse operational efficiency and build business models to guide decision-making. 
Design market/business intelligence reports and performance measurement dashboards.
 ","Requirements
The must haves:
A Bachelor's/Masters degree, preferably in Analytics, Statistics, Economics or Engineering
Minimum 1-5 years relevant work experience in an analytics or insights related role. 
Above 5 years work experience with team management (experience) for Manager.
Experience in business, strategy and/or tech consulting would be an advantage 
Strong foundation in data query/manipulation using SQL and data visualisation using tools like Tableau. 
Experience using R, Python or other tools for statistical analysis is a strong plus
Effective communicator to both technical and business audiences
Passionate about solving problems – possesses a relentless need for investigation and data exploration.
Results and detail-oriented, with strong intuitions on how to solve problems creatively and quickly."
6,6,https://www.mycareersfuture.sg/job/controller-asia-pacific-roche-diagnostics-asia-pacific-ff8a8f2f2a18b722bda68d455fbbafe8,Central,ROCHE DIAGNOSTICS ASIA PACIFIC PTE LTD,"Controller, Asia Pacific",Full Time,Executive,Healthcare / Pharmaceutical,"$5,000to$9,000",Monthly,"Roles & Responsibilities
Who we are
At Roche, 94,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. Our success is built on innovation, curiosity and diversity. Roche Diagnostics is committed to create a great place to work for its employees and we have been recognized as the Best Employer in a number of countries in Asia Pacific. 
The Position
We are seeking a Controller to join the Regional Controlling team in strategic planning, financial evaluation and business partnering for the Asia Pacific (APAC) region.
On the role, you will be required to:
Analyze current and past trends in key performance indicators and develop financial models and analysis to evaluate and support decision making
With the aid of Business Intelligence tool and Dashboard, support evaluation of projects such as product launches, deals and investment cases.
Support the annual strategic planning to deliver market-driven insights and align regional and local business operations to achieve a sustainable competitive advantage.
Actively partner with regional commercial teams to share financial insights on business performance, support commerical launches, feasibility studies and process improvement.
Be involved in improvement projects related to business performance, processes and systems.
This role will be based in Singapore, regional office for APAC, and report to the Regional Manager, Planning & Controlling, APAC.","Requirements
Who you are
You’re someone who wants to influence your own development. You’re looking for a company where you have the opportunity to pursue your interests across functions and geographies. Where a job title is not considered the final definition of who you are, but the starting point.
Required Experience and Skills
You are someone who has a growth mindset and a keen interest in business that goes beyond the numbers.
You should ideally possess a Bachelor's degree in Accounting or Finance with around 4 to 5 years of planning and controlling experience, preferably in large multi-national organizations. You must be familiar with Advanced Excel and PowerPoint programs and experienced with SAP and Tableau.
You are highly organized in your work with a high degree of accuracy and precision. You have strong communication and influencing skills coupled with the ability to engage and partner a myriad of stakeholders including senior management. You are resilient and possess the desire and ability to challenge status quo for continous improvement.
Apply online with your full resume, current and expected salaries by 1 March 2019. Shortlisted candidates will be notified within 4 weeks from the application closing date."
7,7,https://www.mycareersfuture.sg/job/sap-bods-consultant-techcom-solutions-consultancy-afc7b623d9eee64431078535d0ae8a3a,Islandwide,TECHCOM SOLUTIONS & CONSULTANCY PTE. LTD.,SAP BODS Consultant,"Contract, Full Time",Professional,"Banking and Finance, Information Technology","$5,000to$6,500",Monthly,"Roles & Responsibilities
Seeking a skilled and experienced BusinessObjects Data Services technical resource.
Working with a hybrid onshore/offshore team comprised of employees and Partner contractors.
To provide leadership and expert advice to a hybrid (onshore/offshore) Operations team undertaking an upgrade of Data Services 4.2 sp4 to Data Services 4.2 sp11.patch 1 AND associated SAP Information Platform Services 4.1 sp5 to 4.2 sp6; with governance from the Business Intelligence Platform team.
To produce a plan and if/where required drive and assist with the execution (technical skills).
The service pack upgrade is required as part of a larger program of work and will need to work within timeframes and resource availability of the Operations and Platform teams
There are four environments to be upgraded (Dev, Test, QA, Prod) across 12 servers; with circa 5 source categories (Excel, SAP, Web-based, Oracle DB, Sql DB); target database is Oracle 12c Enterprise Edition 12.1.0.2.0 - 64 bit (Exadata).
Operating system is Windows Server 2008 R2 Enterprise Service Pack 1; Web application is Tomcat; using SAP Business Objects Information Platform Services 4.1 sp5.","Requirements
Seeking a skilled and experienced Business Objects Data Services technical resource.
Working with a hybrid onshore/offshore team comprised of employees and Partner contractors.
To provide leadership and expert advice to a hybrid (onshore/offshore) Operations team undertaking an upgrade of Data Services 4.2 sp4 to Data Services 4.2 sp11.patch 1 AND associated SAP Information Platform Services 4.1 sp5 to 4.2 sp6; with governance from the Business Intelligence Platform team.
To produce a plan and if/where required drive and assist with the execution (technical skills).
The service pack upgrade is required as part of a larger program of work and will need to work within timeframes and resource availability of the Operations and Platform teams
There are four environments to be upgraded (Dev, Test, QA, Prod) across 12 servers; with circa 5 source categories (Excel, SAP, Web-based, Oracle DB, Sql DB); target database is Oracle 12c Enterprise Edition 12.1.0.2.0 - 64 bit (Exadata).
Operating system is Windows Server 2008 R2 Enterprise Service Pack 1; Web application is Tomcat; using SAP Business Objects Information Platform Services 4.1 sp5."
8,8,https://www.mycareersfuture.sg/job/datawarehouse-consultant-r-systems-cdd043d9474734e6189d33aa8e9778a6,South,R SYSTEMS (SINGAPORE) PTE LIMITED,Datawarehouse Consultant,Full Time,Executive,Information Technology,"$6,000to$7,000",Monthly,"Roles & Responsibilities
Experience working with business users to concept, generate and deliver data management solutions, dashboards and reporting .
Working knowledge of BI (business intelligence) or analytics tools required","Requirements
Good experience in HADOOP IS REQUIRED
Working knowledge of data visualization: ie. Tableau, QlikView
Knowledge of Big data and Hadoop
Working knowledge of Microsoft SQL Server and/or Oracle databases is preferred SSIS/SSRS required"
9,9,https://www.mycareersfuture.sg/job/solution-architect-c604e583074c84e863aa01dcacad8bff,Islandwide,COMPANY UNDISCLOSED,Solution architect,"Contract, Full Time",Senior Executive,Information Technology,"$7,000to$8,500",Monthly,"Roles & Responsibilities
·         Total Experience of 12 to 14 years which includes archotecting BI platforms and Data Ware house using Informatica (Power center and BDM) with hands on technical experience. Hands on Cognos and Tableau Reporting is also desired.·         Minimum of 6 to 8 years of technical hands on experience in Informatica PowerCenter 9.1 or higher and Oracle 11g preferably as Database or other databases such as SQL Server/Teradata etc.·  Candidate should have delivered 4-5 BI DW projects as architect role.·         excellent understanding of Datawarehouse principles, BI Cognos reporting,  Lead data warehouse development, including but not limited to profiling data, leading the dimensional modelling of star schemas and mapping sources to star schemas.·         Mentor technical team to come up with solutions. Good at Data modelling, Campaigns, migration to variuos BI platforms.·         Extensive experience with ETL architecture using Informatica ETL tools. Have been involved in analysis and design of complex Datamart schemas, migration strategies and interfaces for Data Warehouses using Informatica PowerCenter ETL tool.·         Sound Technical knowledge in writing sql queries and well aware of performance tuning and optimization. Sound knowledge on uage of indexes and other optimization techniques·         Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects·         Work closely with project Business Analyst, Data Modeler and Architects to ensure that the end to end designs meet the business and data requirements·         Develop the task plan for ETL Designers and developers for a specific project·         Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL and Reporting related activities.·         Participation and contribution in quality assurance walk through of ETL and reporting components·         Responsible for the design, development and deployment of List, Cross Tab, Charts, Dashboard and multi-dimensional reports using the Cognos Business Intelligence solution.·         Working with business users to design and develop Cognos BI 10.1 reports using Report Studio , Query Studio with data drill-down and slice-and-dice options·         Support development teams with performance tuning and troubleshooting issues·         Review of ETL and reporting design documents and working closely with Business/Architect team·         Should have good troubleshooting the Joins/performance issues at Cognos Framework Manager level and worked on Star and snow flake schemas designs.·         Understands the range of options and best practices for common ETL design techniques such as change data capture, key generation and optimization·         Perform root cause analysis on all processes and resolve all issues raised by business·         Be able to proactively monitor the overall system from the data load perspective and take appropriate actions to improve the overall implementation and performance·         Should have strong ability to troubleshoot performance and configuration related issues including connectivity issues due to firewalls, load balancers etc.·        ","Requirements
Sound knowledge of SDLC, estimations and preparing POC’s as per client needs·         Good to have Telecom Domain experience·         Team handling experience of 8 to 10 resources and preferably direct responsible for their performance cycle , coaching and mentoring the Junior resources for their career growth.·         Good Project Management experience"
